Cell,Louvain_Stage,Annotation
cell_118576,3,ant Epiblast*
cell_118577,12,Blood
cell_118578,3,ant Epiblast*
cell_118579,6,CardioPhayngeral prog
cell_118580,6,CardioPhayngeral prog
cell_118581,15,cardiac?
cell_118582,6,CardioPhayngeral prog
cell_118583,6,CardioPhayngeral prog
cell_118584,0,Blood
cell_118585,0,Blood
cell_118587,8,Caudal Epiblast
cell_118588,11,Primitive Streak
cell_118590,0,Blood
cell_118591,9,Trophectoderm
cell_118592,4,"post Primitive Streak, pxm"
cell_118593,16,ant Endoderm
cell_118594,11,Primitive Streak
cell_118596,0,Blood
cell_118597,9,Trophectoderm
cell_118599,2,Visceral Endoderm
cell_118600,6,CardioPhayngeral prog
cell_118603,0,Blood
cell_118604,9,Trophectoderm
cell_118605,10,Extraembryonic Mesoderm (*2)
cell_118607,1,ant NECT FB
cell_118608,8,Caudal Epiblast
cell_118609,3,ant Epiblast*
cell_118610,9,Trophectoderm
cell_118611,14,First heart field
cell_118613,0,Blood
cell_118615,15,cardiac?
cell_118616,4,"post Primitive Streak, pxm"
cell_118617,8,Caudal Epiblast
cell_118618,4,"post Primitive Streak, pxm"
cell_118619,1,ant NECT FB
cell_118620,7,Pharyngeal primordium
cell_118622,7,Pharyngeal primordium
cell_118623,17,Node
cell_118624,14,First heart field
cell_118625,3,ant Epiblast*
cell_118626,16,ant Endoderm
cell_118627,5,"LPM, IM, "
cell_118629,1,ant NECT FB
cell_118630,2,Visceral Endoderm
cell_118631,7,Pharyngeal primordium
cell_118632,4,"post Primitive Streak, pxm"
cell_118634,3,ant Epiblast*
cell_118635,4,"post Primitive Streak, pxm"
cell_118636,18,Endodermal derivative
cell_118637,6,CardioPhayngeral prog
cell_118638,1,ant NECT FB
cell_118639,9,Trophectoderm
cell_118642,9,Trophectoderm
cell_118643,5,"LPM, IM, "
cell_118644,0,Blood
cell_118645,0,Blood
cell_118646,2,Visceral Endoderm
cell_118647,7,Pharyngeal primordium
cell_118648,10,Extraembryonic Mesoderm (*2)
cell_118649,9,Trophectoderm
cell_118650,4,"post Primitive Streak, pxm"
cell_118651,8,Caudal Epiblast
cell_118652,11,Primitive Streak
cell_118653,10,Extraembryonic Mesoderm (*2)
cell_118655,3,ant Epiblast*
cell_118656,7,Pharyngeal primordium
cell_118657,8,Caudal Epiblast
cell_118658,11,Primitive Streak
cell_118659,15,cardiac?
cell_118662,3,ant Epiblast*
cell_118664,8,Caudal Epiblast
cell_118665,7,Pharyngeal primordium
cell_118666,1,ant NECT FB
cell_118667,8,Caudal Epiblast
cell_118668,15,cardiac?
cell_118671,1,ant NECT FB
cell_118672,3,ant Epiblast*
cell_118673,7,Pharyngeal primordium
cell_118674,13,Endothelium
cell_118675,0,Blood
cell_118676,14,First heart field
cell_118677,15,cardiac?
cell_118678,2,Visceral Endoderm
cell_118679,3,ant Epiblast*
cell_118680,8,Caudal Epiblast
cell_118681,8,Caudal Epiblast
cell_118682,3,ant Epiblast*
cell_118683,3,ant Epiblast*
cell_118684,14,First heart field
cell_118685,8,Caudal Epiblast
cell_118687,2,Visceral Endoderm
cell_118689,9,Trophectoderm
cell_118690,1,ant NECT FB
cell_118693,3,ant Epiblast*
cell_118694,11,Primitive Streak
cell_118696,0,Blood
cell_118698,9,Trophectoderm
cell_118699,9,Trophectoderm
cell_118700,11,Primitive Streak
cell_118701,4,"post Primitive Streak, pxm"
cell_118702,11,Primitive Streak
cell_118703,2,Visceral Endoderm
cell_118704,12,Blood
cell_118705,14,First heart field
cell_118706,2,Visceral Endoderm
cell_118709,1,ant NECT FB
cell_118710,0,Blood
cell_118711,17,Node
cell_118712,11,Primitive Streak
cell_118713,2,Visceral Endoderm
cell_118715,16,ant Endoderm
cell_118716,7,Pharyngeal primordium
cell_118717,8,Caudal Epiblast
cell_118718,6,CardioPhayngeral prog
cell_118721,0,Blood
cell_118722,5,"LPM, IM, "
cell_118723,0,Blood
cell_118724,7,Pharyngeal primordium
cell_118725,10,Extraembryonic Mesoderm (*2)
cell_118726,3,ant Epiblast*
cell_118727,11,Primitive Streak
cell_118728,5,"LPM, IM, "
cell_118729,17,Node
cell_118730,2,Visceral Endoderm
cell_118731,10,Extraembryonic Mesoderm (*2)
cell_118732,8,Caudal Epiblast
cell_118734,8,Caudal Epiblast
cell_118735,1,ant NECT FB
cell_118736,14,First heart field
cell_118738,11,Primitive Streak
cell_118739,6,CardioPhayngeral prog
cell_118740,2,Visceral Endoderm
cell_118741,0,Blood
cell_118742,11,Primitive Streak
cell_118743,6,CardioPhayngeral prog
cell_118744,7,Pharyngeal primordium
cell_118745,1,ant NECT FB
cell_118746,9,Trophectoderm
cell_118747,6,CardioPhayngeral prog
cell_118748,1,ant NECT FB
cell_118749,1,ant NECT FB
cell_118750,1,ant NECT FB
cell_118751,4,"post Primitive Streak, pxm"
cell_118752,6,CardioPhayngeral prog
cell_118754,11,Primitive Streak
cell_118755,5,"LPM, IM, "
cell_118756,7,Pharyngeal primordium
cell_118757,7,Pharyngeal primordium
cell_118758,3,ant Epiblast*
cell_118760,6,CardioPhayngeral prog
cell_118762,13,Endothelium
cell_118763,10,Extraembryonic Mesoderm (*2)
cell_118764,-1,
cell_118766,17,Node
cell_118767,0,Blood
cell_118768,14,First heart field
cell_118769,16,ant Endoderm
cell_118770,5,"LPM, IM, "
cell_118771,2,Visceral Endoderm
cell_118772,3,ant Epiblast*
cell_118773,0,Blood
cell_118775,5,"LPM, IM, "
cell_118776,14,First heart field
cell_118777,9,Trophectoderm
cell_118778,4,"post Primitive Streak, pxm"
cell_118779,7,Pharyngeal primordium
cell_118780,7,Pharyngeal primordium
cell_118782,10,Extraembryonic Mesoderm (*2)
cell_118783,9,Trophectoderm
cell_118784,11,Primitive Streak
cell_118785,9,Trophectoderm
cell_118786,0,Blood
cell_118787,1,ant NECT FB
cell_118788,8,Caudal Epiblast
cell_118790,3,ant Epiblast*
cell_118791,6,CardioPhayngeral prog
cell_118792,1,ant NECT FB
cell_118793,0,Blood
cell_118794,14,First heart field
cell_118796,10,Extraembryonic Mesoderm (*2)
cell_118797,17,Node
cell_118798,9,Trophectoderm
cell_118799,0,Blood
cell_118800,7,Pharyngeal primordium
cell_118801,9,Trophectoderm
cell_118802,11,Primitive Streak
cell_118803,13,Endothelium
cell_118804,6,CardioPhayngeral prog
cell_118805,1,ant NECT FB
cell_118806,5,"LPM, IM, "
cell_118807,0,Blood
cell_118808,14,First heart field
cell_118809,11,Primitive Streak
cell_118810,0,Blood
cell_118811,14,First heart field
cell_118812,8,Caudal Epiblast
cell_118813,6,CardioPhayngeral prog
cell_118814,15,cardiac?
cell_118815,8,Caudal Epiblast
cell_118816,4,"post Primitive Streak, pxm"
cell_118817,8,Caudal Epiblast
cell_118818,3,ant Epiblast*
cell_118819,2,Visceral Endoderm
cell_118820,13,Endothelium
cell_118821,7,Pharyngeal primordium
cell_118822,0,Blood
cell_118825,0,Blood
cell_118827,1,ant NECT FB
cell_118828,13,Endothelium
cell_118829,8,Caudal Epiblast
cell_118830,6,CardioPhayngeral prog
cell_118831,15,cardiac?
cell_118832,6,CardioPhayngeral prog
cell_118833,14,First heart field
cell_118834,1,ant NECT FB
cell_118835,9,Trophectoderm
cell_118836,12,Blood
cell_118837,14,First heart field
cell_118838,8,Caudal Epiblast
cell_118839,2,Visceral Endoderm
cell_118840,9,Trophectoderm
cell_118841,5,"LPM, IM, "
cell_118842,15,cardiac?
cell_118843,2,Visceral Endoderm
cell_118845,12,Blood
cell_118846,2,Visceral Endoderm
cell_118847,3,ant Epiblast*
cell_118848,12,Blood
cell_118849,8,Caudal Epiblast
cell_118850,1,ant NECT FB
cell_118851,15,cardiac?
cell_118852,1,ant NECT FB
cell_118854,0,Blood
cell_118855,12,Blood
cell_118856,8,Caudal Epiblast
cell_118857,1,ant NECT FB
cell_118858,9,Trophectoderm
cell_118859,7,Pharyngeal primordium
cell_118860,3,ant Epiblast*
cell_118861,2,Visceral Endoderm
cell_118862,4,"post Primitive Streak, pxm"
cell_118863,13,Endothelium
cell_118864,1,ant NECT FB
cell_118865,2,Visceral Endoderm
cell_118866,6,CardioPhayngeral prog
cell_118868,9,Trophectoderm
cell_118869,0,Blood
cell_118870,1,ant NECT FB
cell_118871,10,Extraembryonic Mesoderm (*2)
cell_118873,10,Extraembryonic Mesoderm (*2)
cell_118874,1,ant NECT FB
cell_118875,4,"post Primitive Streak, pxm"
cell_118876,0,Blood
cell_118878,3,ant Epiblast*
cell_118879,12,Blood
cell_118880,4,"post Primitive Streak, pxm"
cell_118881,10,Extraembryonic Mesoderm (*2)
cell_118882,9,Trophectoderm
cell_118883,10,Extraembryonic Mesoderm (*2)
cell_118885,0,Blood
cell_118886,14,First heart field
cell_118887,0,Blood
cell_118889,9,Trophectoderm
cell_118890,1,ant NECT FB
cell_118891,15,cardiac?
cell_118892,12,Blood
cell_118894,1,ant NECT FB
cell_118895,0,Blood
cell_118896,7,Pharyngeal primordium
cell_118897,9,Trophectoderm
cell_118898,3,ant Epiblast*
cell_118899,0,Blood
cell_118900,11,Primitive Streak
cell_118902,10,Extraembryonic Mesoderm (*2)
cell_118903,9,Trophectoderm
cell_118904,13,Endothelium
cell_118905,6,CardioPhayngeral prog
cell_118906,3,ant Epiblast*
cell_118907,4,"post Primitive Streak, pxm"
cell_118909,10,Extraembryonic Mesoderm (*2)
cell_118910,7,Pharyngeal primordium
cell_118911,8,Caudal Epiblast
cell_118913,2,Visceral Endoderm
cell_118914,14,First heart field
cell_118915,13,Endothelium
cell_118916,13,Endothelium
cell_118917,3,ant Epiblast*
cell_118918,17,Node
cell_118919,9,Trophectoderm
cell_118920,10,Extraembryonic Mesoderm (*2)
cell_118921,16,ant Endoderm
cell_118922,4,"post Primitive Streak, pxm"
cell_118923,15,cardiac?
cell_118924,4,"post Primitive Streak, pxm"
cell_118925,0,Blood
cell_118926,0,Blood
cell_118928,1,ant NECT FB
cell_118929,8,Caudal Epiblast
cell_118930,12,Blood
cell_118931,3,ant Epiblast*
cell_118932,13,Endothelium
cell_118933,9,Trophectoderm
cell_118934,10,Extraembryonic Mesoderm (*2)
cell_118935,6,CardioPhayngeral prog
cell_118936,0,Blood
cell_118937,5,"LPM, IM, "
cell_118938,9,Trophectoderm
cell_118939,9,Trophectoderm
cell_118940,5,"LPM, IM, "
cell_118941,5,"LPM, IM, "
cell_118942,10,Extraembryonic Mesoderm (*2)
cell_118943,3,ant Epiblast*
cell_118944,3,ant Epiblast*
cell_118945,0,Blood
cell_118946,3,ant Epiblast*
cell_118948,3,ant Epiblast*
cell_118949,8,Caudal Epiblast
cell_118950,2,Visceral Endoderm
cell_118951,7,Pharyngeal primordium
cell_118952,6,CardioPhayngeral prog
cell_118953,4,"post Primitive Streak, pxm"
cell_118954,2,Visceral Endoderm
cell_118955,0,Blood
cell_118956,5,"LPM, IM, "
cell_118957,2,Visceral Endoderm
cell_118958,10,Extraembryonic Mesoderm (*2)
cell_118959,1,ant NECT FB
cell_118961,6,CardioPhayngeral prog
cell_118962,5,"LPM, IM, "
cell_118963,15,cardiac?
cell_118964,9,Trophectoderm
cell_118965,3,ant Epiblast*
cell_118966,9,Trophectoderm
cell_118967,2,Visceral Endoderm
cell_118968,10,Extraembryonic Mesoderm (*2)
cell_118969,1,ant NECT FB
cell_118970,12,Blood
cell_118971,17,Node
cell_118972,5,"LPM, IM, "
cell_118973,1,ant NECT FB
cell_118974,3,ant Epiblast*
cell_118975,1,ant NECT FB
cell_118976,3,ant Epiblast*
cell_118977,6,CardioPhayngeral prog
cell_118978,17,Node
cell_118979,11,Primitive Streak
cell_118980,5,"LPM, IM, "
cell_118981,5,"LPM, IM, "
cell_118982,8,Caudal Epiblast
cell_118983,10,Extraembryonic Mesoderm (*2)
cell_118984,9,Trophectoderm
cell_118985,15,cardiac?
cell_118986,15,cardiac?
cell_118987,16,ant Endoderm
cell_118989,12,Blood
cell_118991,5,"LPM, IM, "
cell_118992,11,Primitive Streak
cell_118993,17,Node
cell_118994,3,ant Epiblast*
cell_118995,1,ant NECT FB
cell_118996,13,Endothelium
cell_118998,12,Blood
cell_119002,2,Visceral Endoderm
cell_119003,11,Primitive Streak
cell_119004,8,Caudal Epiblast
cell_119005,4,"post Primitive Streak, pxm"
cell_119006,15,cardiac?
cell_119007,11,Primitive Streak
cell_119008,7,Pharyngeal primordium
cell_119009,6,CardioPhayngeral prog
cell_119010,3,ant Epiblast*
cell_119011,14,First heart field
cell_119012,12,Blood
cell_119013,0,Blood
cell_119014,2,Visceral Endoderm
cell_119015,5,"LPM, IM, "
cell_119016,13,Endothelium
cell_119017,0,Blood
cell_119018,9,Trophectoderm
cell_119019,7,Pharyngeal primordium
cell_119020,16,ant Endoderm
cell_119021,1,ant NECT FB
cell_119022,7,Pharyngeal primordium
cell_119024,9,Trophectoderm
cell_119025,4,"post Primitive Streak, pxm"
cell_119027,1,ant NECT FB
cell_119028,5,"LPM, IM, "
cell_119030,2,Visceral Endoderm
cell_119032,7,Pharyngeal primordium
cell_119033,7,Pharyngeal primordium
cell_119034,9,Trophectoderm
cell_119035,6,CardioPhayngeral prog
cell_119036,1,ant NECT FB
cell_119037,6,CardioPhayngeral prog
cell_119038,14,First heart field
cell_119039,2,Visceral Endoderm
cell_119040,16,ant Endoderm
cell_119041,14,First heart field
cell_119043,2,Visceral Endoderm
cell_119044,4,"post Primitive Streak, pxm"
cell_119045,9,Trophectoderm
cell_119046,16,ant Endoderm
cell_119047,3,ant Epiblast*
cell_119048,9,Trophectoderm
cell_119049,7,Pharyngeal primordium
cell_119050,3,ant Epiblast*
cell_119051,14,First heart field
cell_119052,-1,
cell_119054,6,CardioPhayngeral prog
cell_119055,16,ant Endoderm
cell_119056,1,ant NECT FB
cell_119057,10,Extraembryonic Mesoderm (*2)
cell_119058,14,First heart field
cell_119060,2,Visceral Endoderm
cell_119061,9,Trophectoderm
cell_119062,6,CardioPhayngeral prog
cell_119063,4,"post Primitive Streak, pxm"
cell_119065,10,Extraembryonic Mesoderm (*2)
cell_119066,15,cardiac?
cell_119067,13,Endothelium
cell_119068,10,Extraembryonic Mesoderm (*2)
cell_119069,3,ant Epiblast*
cell_119070,12,Blood
cell_119071,7,Pharyngeal primordium
cell_119073,6,CardioPhayngeral prog
cell_119074,8,Caudal Epiblast
cell_119076,3,ant Epiblast*
cell_119078,6,CardioPhayngeral prog
cell_119080,0,Blood
cell_119081,9,Trophectoderm
cell_119082,0,Blood
cell_119083,3,ant Epiblast*
cell_119085,10,Extraembryonic Mesoderm (*2)
cell_119086,6,CardioPhayngeral prog
cell_119087,1,ant NECT FB
cell_119088,4,"post Primitive Streak, pxm"
cell_119089,14,First heart field
cell_119090,5,"LPM, IM, "
cell_119091,9,Trophectoderm
cell_119092,6,CardioPhayngeral prog
cell_119093,3,ant Epiblast*
cell_119094,8,Caudal Epiblast
cell_119095,3,ant Epiblast*
cell_119096,3,ant Epiblast*
cell_119098,5,"LPM, IM, "
cell_119099,4,"post Primitive Streak, pxm"
cell_119100,5,"LPM, IM, "
cell_119101,4,"post Primitive Streak, pxm"
cell_119102,17,Node
cell_119103,3,ant Epiblast*
cell_119104,6,CardioPhayngeral prog
cell_119105,11,Primitive Streak
cell_119106,4,"post Primitive Streak, pxm"
cell_119108,7,Pharyngeal primordium
cell_119109,8,Caudal Epiblast
cell_119110,5,"LPM, IM, "
cell_119111,2,Visceral Endoderm
cell_119112,6,CardioPhayngeral prog
cell_119113,1,ant NECT FB
cell_119114,3,ant Epiblast*
cell_119116,7,Pharyngeal primordium
cell_119117,5,"LPM, IM, "
cell_119118,14,First heart field
cell_119119,7,Pharyngeal primordium
cell_119120,3,ant Epiblast*
cell_119121,15,cardiac?
cell_119123,0,Blood
cell_119124,1,ant NECT FB
cell_119125,2,Visceral Endoderm
cell_119126,8,Caudal Epiblast
cell_119127,2,Visceral Endoderm
cell_119129,0,Blood
cell_119130,10,Extraembryonic Mesoderm (*2)
cell_119131,8,Caudal Epiblast
cell_119132,5,"LPM, IM, "
cell_119133,7,Pharyngeal primordium
cell_119134,11,Primitive Streak
cell_119135,8,Caudal Epiblast
cell_119136,14,First heart field
cell_119137,4,"post Primitive Streak, pxm"
cell_119138,2,Visceral Endoderm
cell_119139,3,ant Epiblast*
cell_119140,6,CardioPhayngeral prog
cell_119141,8,Caudal Epiblast
cell_119142,9,Trophectoderm
cell_119143,11,Primitive Streak
cell_119144,4,"post Primitive Streak, pxm"
cell_119145,6,CardioPhayngeral prog
cell_119146,15,cardiac?
cell_119147,0,Blood
cell_119148,3,ant Epiblast*
cell_119149,13,Endothelium
cell_119151,6,CardioPhayngeral prog
cell_119152,9,Trophectoderm
cell_119153,8,Caudal Epiblast
cell_119154,17,Node
cell_119156,11,Primitive Streak
cell_119157,11,Primitive Streak
cell_119158,0,Blood
cell_119159,7,Pharyngeal primordium
cell_119160,1,ant NECT FB
cell_119161,13,Endothelium
cell_119162,16,ant Endoderm
cell_119163,3,ant Epiblast*
cell_119164,1,ant NECT FB
cell_119165,2,Visceral Endoderm
cell_119167,4,"post Primitive Streak, pxm"
cell_119168,13,Endothelium
cell_119169,5,"LPM, IM, "
cell_119170,11,Primitive Streak
cell_119171,0,Blood
cell_119172,7,Pharyngeal primordium
cell_119173,9,Trophectoderm
cell_119174,13,Endothelium
cell_119175,2,Visceral Endoderm
cell_119176,0,Blood
cell_119177,3,ant Epiblast*
cell_119178,14,First heart field
cell_119179,14,First heart field
cell_119180,9,Trophectoderm
cell_119181,12,Blood
cell_119182,3,ant Epiblast*
cell_119183,4,"post Primitive Streak, pxm"
cell_119184,9,Trophectoderm
cell_119185,10,Extraembryonic Mesoderm (*2)
cell_119186,2,Visceral Endoderm
cell_119187,7,Pharyngeal primordium
cell_119188,4,"post Primitive Streak, pxm"
cell_119189,14,First heart field
cell_119190,6,CardioPhayngeral prog
cell_119191,10,Extraembryonic Mesoderm (*2)
cell_119192,2,Visceral Endoderm
cell_119193,10,Extraembryonic Mesoderm (*2)
cell_119194,4,"post Primitive Streak, pxm"
cell_119196,14,First heart field
cell_119197,2,Visceral Endoderm
cell_119199,3,ant Epiblast*
cell_119200,1,ant NECT FB
cell_119201,14,First heart field
cell_119202,4,"post Primitive Streak, pxm"
cell_119203,8,Caudal Epiblast
cell_119204,3,ant Epiblast*
cell_119205,1,ant NECT FB
cell_119207,8,Caudal Epiblast
cell_119208,6,CardioPhayngeral prog
cell_119209,3,ant Epiblast*
cell_119210,7,Pharyngeal primordium
cell_119211,12,Blood
cell_119212,4,"post Primitive Streak, pxm"
cell_119213,13,Endothelium
cell_119214,17,Node
cell_119216,1,ant NECT FB
cell_119217,13,Endothelium
cell_119218,4,"post Primitive Streak, pxm"
cell_119219,3,ant Epiblast*
cell_119220,6,CardioPhayngeral prog
cell_119221,10,Extraembryonic Mesoderm (*2)
cell_119222,3,ant Epiblast*
cell_119223,3,ant Epiblast*
cell_119224,13,Endothelium
cell_119225,7,Pharyngeal primordium
cell_119226,17,Node
cell_119228,4,"post Primitive Streak, pxm"
cell_119229,1,ant NECT FB
cell_119231,13,Endothelium
cell_119232,1,ant NECT FB
cell_119233,6,CardioPhayngeral prog
cell_119235,4,"post Primitive Streak, pxm"
cell_119236,1,ant NECT FB
cell_119237,16,ant Endoderm
cell_119238,3,ant Epiblast*
cell_119239,5,"LPM, IM, "
cell_119240,14,First heart field
cell_119241,9,Trophectoderm
cell_119242,6,CardioPhayngeral prog
cell_119243,3,ant Epiblast*
cell_119244,8,Caudal Epiblast
cell_119245,4,"post Primitive Streak, pxm"
cell_119246,4,"post Primitive Streak, pxm"
cell_119247,2,Visceral Endoderm
cell_119248,2,Visceral Endoderm
cell_119249,6,CardioPhayngeral prog
cell_119250,7,Pharyngeal primordium
cell_119251,12,Blood
cell_119253,16,ant Endoderm
cell_119254,9,Trophectoderm
cell_119255,9,Trophectoderm
cell_119257,1,ant NECT FB
cell_119258,4,"post Primitive Streak, pxm"
cell_119259,5,"LPM, IM, "
cell_119260,14,First heart field
cell_119261,8,Caudal Epiblast
cell_119263,10,Extraembryonic Mesoderm (*2)
cell_119264,2,Visceral Endoderm
cell_119266,5,"LPM, IM, "
cell_119267,2,Visceral Endoderm
cell_119268,15,cardiac?
cell_119269,6,CardioPhayngeral prog
cell_119270,9,Trophectoderm
cell_119271,9,Trophectoderm
cell_119272,15,cardiac?
cell_119273,7,Pharyngeal primordium
cell_119274,7,Pharyngeal primordium
cell_119276,10,Extraembryonic Mesoderm (*2)
cell_119277,14,First heart field
cell_119278,3,ant Epiblast*
cell_119279,1,ant NECT FB
cell_119280,4,"post Primitive Streak, pxm"
cell_119281,0,Blood
cell_119282,5,"LPM, IM, "
cell_119284,0,Blood
cell_119285,12,Blood
cell_119286,15,cardiac?
cell_119289,6,CardioPhayngeral prog
cell_119290,0,Blood
cell_119291,14,First heart field
cell_119292,9,Trophectoderm
cell_119293,12,Blood
cell_119294,8,Caudal Epiblast
cell_119295,4,"post Primitive Streak, pxm"
cell_119296,1,ant NECT FB
cell_119298,11,Primitive Streak
cell_119299,6,CardioPhayngeral prog
cell_119300,0,Blood
cell_119301,5,"LPM, IM, "
cell_119302,11,Primitive Streak
cell_119303,6,CardioPhayngeral prog
cell_119304,2,Visceral Endoderm
cell_119305,9,Trophectoderm
cell_119306,1,ant NECT FB
cell_119307,8,Caudal Epiblast
cell_119308,5,"LPM, IM, "
cell_119309,13,Endothelium
cell_119310,4,"post Primitive Streak, pxm"
cell_119311,5,"LPM, IM, "
cell_119312,15,cardiac?
cell_119313,3,ant Epiblast*
cell_119314,15,cardiac?
cell_119315,6,CardioPhayngeral prog
cell_119316,7,Pharyngeal primordium
cell_119317,10,Extraembryonic Mesoderm (*2)
cell_119318,8,Caudal Epiblast
cell_119319,7,Pharyngeal primordium
cell_119320,0,Blood
cell_119321,3,ant Epiblast*
cell_119322,0,Blood
cell_119323,11,Primitive Streak
cell_119324,4,"post Primitive Streak, pxm"
cell_119325,1,ant NECT FB
cell_119326,0,Blood
cell_119327,3,ant Epiblast*
cell_119328,3,ant Epiblast*
cell_119329,10,Extraembryonic Mesoderm (*2)
cell_119330,16,ant Endoderm
cell_119332,6,CardioPhayngeral prog
cell_119333,14,First heart field
cell_119334,11,Primitive Streak
cell_119335,14,First heart field
cell_119336,6,CardioPhayngeral prog
cell_119337,11,Primitive Streak
cell_119338,7,Pharyngeal primordium
cell_119339,7,Pharyngeal primordium
cell_119340,1,ant NECT FB
cell_119341,10,Extraembryonic Mesoderm (*2)
cell_119342,6,CardioPhayngeral prog
cell_119343,3,ant Epiblast*
cell_119344,4,"post Primitive Streak, pxm"
cell_119345,4,"post Primitive Streak, pxm"
cell_119346,17,Node
cell_119347,1,ant NECT FB
cell_119351,13,Endothelium
cell_119353,7,Pharyngeal primordium
cell_119354,3,ant Epiblast*
cell_119355,3,ant Epiblast*
cell_119356,5,"LPM, IM, "
cell_119357,0,Blood
cell_119358,6,CardioPhayngeral prog
cell_119359,3,ant Epiblast*
cell_119361,7,Pharyngeal primordium
cell_119362,12,Blood
cell_119363,14,First heart field
cell_119364,13,Endothelium
cell_119365,13,Endothelium
cell_119366,2,Visceral Endoderm
cell_119367,0,Blood
cell_119368,16,ant Endoderm
cell_119370,3,ant Epiblast*
cell_119371,2,Visceral Endoderm
cell_119372,5,"LPM, IM, "
cell_119373,3,ant Epiblast*
cell_119374,11,Primitive Streak
cell_119375,11,Primitive Streak
cell_119376,11,Primitive Streak
cell_119377,8,Caudal Epiblast
cell_119378,1,ant NECT FB
cell_119379,16,ant Endoderm
cell_119380,6,CardioPhayngeral prog
cell_119382,13,Endothelium
cell_119383,5,"LPM, IM, "
cell_119385,7,Pharyngeal primordium
cell_119386,14,First heart field
cell_119387,11,Primitive Streak
cell_119388,10,Extraembryonic Mesoderm (*2)
cell_119389,11,Primitive Streak
cell_119390,5,"LPM, IM, "
cell_119391,7,Pharyngeal primordium
cell_119394,3,ant Epiblast*
cell_119395,6,CardioPhayngeral prog
cell_119396,11,Primitive Streak
cell_119397,10,Extraembryonic Mesoderm (*2)
cell_119398,3,ant Epiblast*
cell_119399,16,ant Endoderm
cell_119400,8,Caudal Epiblast
cell_119401,12,Blood
cell_119402,6,CardioPhayngeral prog
cell_119403,11,Primitive Streak
cell_119404,9,Trophectoderm
cell_119405,15,cardiac?
cell_119406,8,Caudal Epiblast
cell_119407,7,Pharyngeal primordium
cell_119408,1,ant NECT FB
cell_119409,10,Extraembryonic Mesoderm (*2)
cell_119411,9,Trophectoderm
cell_119412,9,Trophectoderm
cell_119414,13,Endothelium
cell_119417,5,"LPM, IM, "
cell_119418,5,"LPM, IM, "
cell_119419,0,Blood
cell_119420,0,Blood
cell_119421,10,Extraembryonic Mesoderm (*2)
cell_119423,6,CardioPhayngeral prog
cell_119424,2,Visceral Endoderm
cell_119425,3,ant Epiblast*
cell_119426,0,Blood
cell_119427,14,First heart field
cell_119428,9,Trophectoderm
cell_119429,7,Pharyngeal primordium
cell_119430,6,CardioPhayngeral prog
cell_119431,4,"post Primitive Streak, pxm"
cell_119432,13,Endothelium
cell_119433,1,ant NECT FB
cell_119434,10,Extraembryonic Mesoderm (*2)
cell_119436,1,ant NECT FB
cell_119437,4,"post Primitive Streak, pxm"
cell_119438,6,CardioPhayngeral prog
cell_119439,6,CardioPhayngeral prog
cell_119440,8,Caudal Epiblast
cell_119441,15,cardiac?
cell_119442,10,Extraembryonic Mesoderm (*2)
cell_119443,4,"post Primitive Streak, pxm"
cell_119444,7,Pharyngeal primordium
cell_119445,11,Primitive Streak
cell_119448,16,ant Endoderm
cell_119449,7,Pharyngeal primordium
cell_119450,2,Visceral Endoderm
cell_119451,1,ant NECT FB
cell_119454,2,Visceral Endoderm
cell_119455,4,"post Primitive Streak, pxm"
cell_119456,8,Caudal Epiblast
cell_119457,3,ant Epiblast*
cell_119458,14,First heart field
cell_119459,14,First heart field
cell_119460,8,Caudal Epiblast
cell_119461,10,Extraembryonic Mesoderm (*2)
cell_119462,2,Visceral Endoderm
cell_119464,6,CardioPhayngeral prog
cell_119465,15,cardiac?
cell_119466,1,ant NECT FB
cell_119467,9,Trophectoderm
cell_119468,9,Trophectoderm
cell_119469,7,Pharyngeal primordium
cell_119470,6,CardioPhayngeral prog
cell_119471,0,Blood
cell_119472,0,Blood
cell_119473,2,Visceral Endoderm
cell_119475,16,ant Endoderm
cell_119476,11,Primitive Streak
cell_119477,5,"LPM, IM, "
cell_119478,0,Blood
cell_119479,0,Blood
cell_119480,2,Visceral Endoderm
cell_119481,8,Caudal Epiblast
cell_119482,11,Primitive Streak
cell_119483,2,Visceral Endoderm
cell_119485,7,Pharyngeal primordium
cell_119486,12,Blood
cell_119488,7,Pharyngeal primordium
cell_119489,1,ant NECT FB
cell_119490,10,Extraembryonic Mesoderm (*2)
cell_119491,7,Pharyngeal primordium
cell_119492,5,"LPM, IM, "
cell_119494,9,Trophectoderm
cell_119497,1,ant NECT FB
cell_119499,2,Visceral Endoderm
cell_119500,7,Pharyngeal primordium
cell_119501,3,ant Epiblast*
cell_119502,16,ant Endoderm
cell_119503,1,ant NECT FB
cell_119505,10,Extraembryonic Mesoderm (*2)
cell_119506,14,First heart field
cell_119507,18,Endodermal derivative
cell_119509,0,Blood
cell_119510,13,Endothelium
cell_119511,6,CardioPhayngeral prog
cell_119512,5,"LPM, IM, "
cell_119513,5,"LPM, IM, "
cell_119514,6,CardioPhayngeral prog
cell_119516,2,Visceral Endoderm
cell_119519,14,First heart field
cell_119520,18,Endodermal derivative
cell_119521,9,Trophectoderm
cell_119522,13,Endothelium
cell_119523,11,Primitive Streak
cell_119524,4,"post Primitive Streak, pxm"
cell_119525,6,CardioPhayngeral prog
cell_119526,6,CardioPhayngeral prog
