Cell,Louvain_Stage,Annotation
cell_619,12,CardioPahayngeal progenitor
cell_621,4,Primitive Streak
cell_623,11,* Visceral Endoderm
cell_624,4,Primitive Streak
cell_626,9,Definitive Endoderm
cell_628,4,Primitive Streak
cell_630,5,post Primitive Streak; early Extra embryonic mesoderm
cell_631,0,Visceral Endoderm
cell_632,5,post Primitive Streak; early Extra embryonic mesoderm
cell_633,10,Caudal Epiblast
cell_634,12,CardioPahayngeal progenitor
cell_635,4,Primitive Streak
cell_637,10,Caudal Epiblast
cell_638,5,post Primitive Streak; early Extra embryonic mesoderm
cell_639,12,CardioPahayngeal progenitor
cell_640,3,ant Epiblast
cell_643,0,Visceral Endoderm
cell_645,-1,
cell_646,12,CardioPahayngeal progenitor
cell_652,12,CardioPahayngeal progenitor
cell_653,12,CardioPahayngeal progenitor
cell_654,3,ant Epiblast
cell_655,11,* Visceral Endoderm
cell_656,0,Visceral Endoderm
cell_658,4,Primitive Streak
cell_659,0,Visceral Endoderm
cell_660,7,Extraembryonic mesoderm
cell_663,10,Caudal Epiblast
cell_664,6,Visceral Endoderm
cell_665,10,Caudal Epiblast
cell_666,5,post Primitive Streak; early Extra embryonic mesoderm
cell_667,5,post Primitive Streak; early Extra embryonic mesoderm
cell_670,7,Extraembryonic mesoderm
cell_671,4,Primitive Streak
cell_672,6,Visceral Endoderm
cell_674,6,Visceral Endoderm
cell_676,10,Caudal Epiblast
cell_677,12,CardioPahayngeal progenitor
cell_678,3,ant Epiblast
cell_680,1,Trophectoderm
cell_681,10,Caudal Epiblast
cell_682,3,ant Epiblast
cell_683,3,ant Epiblast
cell_684,7,Extraembryonic mesoderm
cell_686,7,Extraembryonic mesoderm
cell_687,1,Trophectoderm
cell_689,7,Extraembryonic mesoderm
cell_690,10,Caudal Epiblast
cell_693,0,Visceral Endoderm
cell_694,7,Extraembryonic mesoderm
cell_695,4,Primitive Streak
cell_696,12,CardioPahayngeal progenitor
cell_697,3,ant Epiblast
cell_699,1,Trophectoderm
cell_700,6,Visceral Endoderm
cell_702,5,post Primitive Streak; early Extra embryonic mesoderm
cell_703,1,Trophectoderm
cell_704,2,ant Neuroectoderm
cell_705,0,Visceral Endoderm
cell_706,3,ant Epiblast
cell_707,9,Definitive Endoderm
cell_709,8,Hemogenic
cell_711,7,Extraembryonic mesoderm
cell_714,10,Caudal Epiblast
cell_717,5,post Primitive Streak; early Extra embryonic mesoderm
cell_718,7,Extraembryonic mesoderm
cell_720,5,post Primitive Streak; early Extra embryonic mesoderm
cell_721,2,ant Neuroectoderm
cell_722,3,ant Epiblast
cell_723,10,Caudal Epiblast
cell_724,3,ant Epiblast
cell_727,1,Trophectoderm
cell_728,5,post Primitive Streak; early Extra embryonic mesoderm
cell_730,13,Primitive Streak
cell_732,0,Visceral Endoderm
cell_734,0,Visceral Endoderm
cell_735,5,post Primitive Streak; early Extra embryonic mesoderm
cell_737,8,Hemogenic
cell_738,13,Primitive Streak
cell_740,13,Primitive Streak
cell_742,0,Visceral Endoderm
cell_743,0,Visceral Endoderm
cell_744,0,Visceral Endoderm
cell_745,13,Primitive Streak
cell_747,4,Primitive Streak
cell_748,4,Primitive Streak
cell_749,5,post Primitive Streak; early Extra embryonic mesoderm
cell_750,8,Hemogenic
cell_752,0,Visceral Endoderm
cell_753,11,* Visceral Endoderm
cell_754,10,Caudal Epiblast
cell_755,3,ant Epiblast
cell_756,7,Extraembryonic mesoderm
cell_757,12,CardioPahayngeal progenitor
cell_758,0,Visceral Endoderm
cell_759,6,Visceral Endoderm
cell_760,2,ant Neuroectoderm
cell_762,0,Visceral Endoderm
cell_763,11,* Visceral Endoderm
cell_764,0,Visceral Endoderm
cell_765,12,CardioPahayngeal progenitor
cell_767,1,Trophectoderm
cell_768,11,* Visceral Endoderm
cell_769,4,Primitive Streak
cell_772,3,ant Epiblast
cell_773,0,Visceral Endoderm
cell_774,11,* Visceral Endoderm
cell_775,4,Primitive Streak
cell_779,6,Visceral Endoderm
cell_780,11,* Visceral Endoderm
cell_781,0,Visceral Endoderm
cell_782,11,* Visceral Endoderm
cell_784,0,Visceral Endoderm
cell_785,0,Visceral Endoderm
cell_786,0,Visceral Endoderm
cell_787,2,ant Neuroectoderm
cell_788,3,ant Epiblast
cell_789,1,Trophectoderm
cell_790,4,Primitive Streak
cell_791,0,Visceral Endoderm
cell_792,1,Trophectoderm
cell_794,3,ant Epiblast
cell_795,13,Primitive Streak
