Cell,Louvain_Stage,Annotation_Stage
cell_1092,9,
cell_1093,0,
cell_1094,7,
cell_1095,11,
cell_1096,2,
cell_1098,5,
cell_1099,7,
cell_1101,5,
cell_1102,3,
cell_1104,1,
cell_1105,0,
cell_1106,11,
cell_1107,12,
cell_1109,0,
cell_1110,1,
cell_1111,0,
cell_1112,9,
cell_1113,2,
cell_1114,7,
cell_1115,1,
cell_1116,4,
cell_1117,2,
cell_1118,0,
cell_1119,4,
cell_1120,12,
cell_1121,6,
cell_1122,0,
cell_1123,0,
cell_1124,0,
cell_1125,5,
cell_1126,0,
cell_1128,5,
cell_1129,6,
cell_1130,7,
cell_1131,8,
cell_1132,0,
cell_1133,0,
cell_1134,0,
cell_1137,11,
cell_1139,5,
cell_1141,8,
cell_1142,4,
cell_1143,0,
cell_1145,12,
cell_1146,5,
cell_1148,7,
cell_1149,3,
cell_1150,3,
cell_1151,2,
cell_1152,1,
cell_1153,2,
cell_1155,2,
cell_1156,7,
cell_1157,2,
cell_1158,4,
cell_1159,9,
cell_1160,8,
cell_1161,4,
cell_1162,4,
cell_1163,5,
cell_1166,8,
cell_1167,6,
cell_1168,3,
cell_1169,0,
cell_1171,6,
cell_1174,7,
cell_1177,2,
cell_1179,0,
cell_1185,0,
cell_1186,3,
cell_1187,9,
cell_1189,0,
cell_1190,12,
cell_1191,0,
cell_1193,5,
cell_1195,1,
cell_1197,3,
cell_1199,1,
cell_1200,0,
cell_1201,11,
cell_1203,3,
cell_1204,12,
cell_1205,8,
cell_1207,7,
cell_1208,8,
cell_1209,10,
cell_1212,0,
cell_1215,2,
cell_1216,5,
cell_1217,3,
cell_1218,1,
cell_1219,0,
cell_1224,0,
cell_1226,0,
cell_1227,10,
cell_1228,12,
cell_1230,2,
cell_1232,0,
cell_1233,11,
cell_1236,12,
cell_1237,10,
cell_1239,2,
cell_1240,6,
cell_1243,5,
cell_1244,0,
cell_1246,10,
cell_1248,4,
cell_1249,0,
cell_1255,0,
cell_1256,0,
cell_1258,1,
cell_1260,4,
cell_1264,4,
cell_1265,5,
cell_1266,2,
cell_1268,2,
cell_1269,4,
cell_1270,0,
cell_1273,12,
cell_1274,5,
cell_1275,1,
cell_1281,2,
cell_1282,10,
cell_1285,0,
cell_1287,0,
cell_1288,12,
cell_1289,0,
cell_1291,2,
cell_1293,2,
cell_1294,0,
cell_1295,0,
cell_1297,0,
cell_1300,0,
cell_1305,7,
cell_1306,3,
cell_1307,8,
cell_1308,0,
cell_1310,12,
cell_1312,12,
cell_1317,1,
cell_1320,8,
cell_1322,0,
cell_1324,12,
cell_1325,8,
cell_1327,0,
cell_1328,8,
cell_1329,0,
cell_1330,7,
cell_1331,0,
cell_1332,2,
cell_1334,0,
cell_1335,12,
cell_1337,5,
cell_1344,0,
cell_1345,3,
cell_1346,0,
cell_1347,2,
cell_1349,2,
cell_1352,12,
cell_1353,12,
cell_1354,0,
cell_1355,12,
cell_1356,4,
cell_1357,4,
cell_1358,12,
cell_1361,13,
cell_1363,6,
cell_1364,0,
cell_1365,7,
cell_1366,2,
cell_1368,1,
cell_1369,6,
cell_1371,0,
cell_1373,0,
cell_1375,2,
cell_1376,0,
cell_1377,12,
cell_1381,2,
cell_1383,3,
cell_1384,10,
cell_1385,3,
cell_1386,2,
cell_1387,10,
cell_1388,4,
cell_1392,1,
cell_1399,0,
cell_1400,0,
cell_1401,4,
cell_1403,0,
cell_1404,0,
cell_1405,0,
cell_1406,12,
cell_1409,6,
cell_1411,0,
cell_1412,0,
cell_1413,0,
cell_1414,12,
cell_1415,4,
cell_1418,1,
cell_1419,12,
cell_1420,2,
cell_1423,12,
cell_1424,1,
cell_1426,0,
cell_1427,0,
cell_1428,0,
cell_1429,0,
cell_1430,4,
cell_1433,6,
cell_1439,0,
cell_1440,7,
cell_1441,6,
cell_1443,2,
cell_1444,3,
cell_1445,7,
cell_1446,7,
cell_1447,1,
cell_1448,0,
cell_1450,8,
cell_1451,3,
cell_1452,5,
cell_1453,1,
cell_1454,5,
cell_1455,3,
cell_1456,5,
cell_1457,3,
cell_1458,5,
cell_1459,3,
cell_1460,4,
cell_1461,3,
cell_1462,0,
cell_1463,6,
cell_1464,0,
cell_1465,1,
cell_1466,5,
cell_1467,5,
cell_1468,0,
cell_1469,2,
cell_1470,5,
cell_1472,1,
cell_1473,3,
cell_1474,2,
cell_1476,1,
cell_1477,2,
cell_1478,1,
cell_1479,3,
cell_1480,3,
cell_1481,2,
cell_1482,3,
cell_1483,1,
cell_1484,5,
cell_1485,3,
cell_1486,3,
cell_1488,5,
cell_1489,6,
cell_1490,1,
cell_1491,6,
cell_1492,1,
cell_1493,5,
cell_1494,3,
cell_1495,1,
cell_1496,4,
cell_1497,1,
cell_1498,1,
cell_1499,0,
cell_1500,0,
cell_1501,2,
cell_1502,3,
cell_1503,3,
cell_1504,1,
cell_1505,1,
cell_1506,3,
cell_1508,1,
cell_1509,1,
cell_1510,1,
cell_1511,6,
cell_1512,2,
cell_1513,2,
cell_1514,2,
cell_1515,1,
cell_1516,3,
cell_1517,0,
cell_1518,2,
cell_1519,2,
cell_1520,1,
cell_1521,2,
cell_1522,1,
cell_1523,1,
cell_1524,1,
cell_1525,2,
cell_1527,0,
cell_1528,3,
cell_1529,3,
cell_1530,1,
cell_1531,0,
cell_1532,3,
cell_1533,1,
cell_1534,2,
cell_1535,3,
cell_1536,3,
cell_1537,0,
cell_1538,0,
cell_1539,6,
cell_1540,2,
cell_1541,0,
cell_1543,0,
cell_1544,5,
cell_1546,3,
cell_1547,1,
cell_1548,5,
cell_1549,2,
cell_1550,0,
cell_1552,1,
cell_1553,1,
cell_1554,2,
cell_1555,3,
cell_1556,6,
cell_1557,2,
cell_1558,3,
cell_1559,1,
cell_1560,0,
cell_1561,3,
cell_1562,1,
cell_1563,0,
cell_1564,2,
cell_1565,2,
cell_1566,5,
cell_1567,0,
cell_1568,3,
cell_1569,3,
cell_1570,5,
cell_1571,1,
cell_1572,6,
cell_1573,0,
cell_1574,0,
cell_1575,2,
cell_1576,1,
cell_1577,5,
cell_1578,0,
cell_1579,5,
cell_1580,1,
cell_1581,1,
cell_1582,2,
cell_1583,3,
cell_1584,6,
cell_1585,0,
cell_1586,4,
cell_1587,3,
cell_1588,3,
cell_1589,1,
cell_1590,1,
cell_1591,3,
cell_1592,6,
cell_1593,3,
cell_1594,3,
cell_1595,6,
cell_1596,2,
cell_1597,2,
cell_1598,1,
cell_1599,2,
cell_1600,0,
cell_1601,1,
cell_1602,3,
cell_1605,1,
cell_1606,3,
cell_1607,1,
cell_1608,3,
cell_1609,5,
cell_1610,2,
cell_1611,3,
cell_1612,1,
cell_1613,2,
cell_1614,1,
cell_1616,1,
cell_1617,1,
cell_1618,0,
cell_1619,1,
cell_1620,2,
cell_1621,0,
cell_1622,5,
cell_1623,0,
cell_1624,1,
cell_1625,0,
cell_1626,3,
cell_1627,2,
cell_1629,0,
cell_1630,0,
cell_1631,0,
cell_1634,6,
cell_1635,3,
cell_1636,1,
cell_1637,1,
cell_1638,0,
cell_1639,3,
cell_1640,1,
cell_1641,1,
cell_1642,2,
cell_1643,3,
cell_1644,5,
cell_1645,1,
cell_1646,0,
cell_1647,3,
cell_1648,0,
cell_1649,4,
cell_1650,0,
cell_1651,0,
cell_1652,0,
cell_1653,1,
cell_1654,1,
cell_1655,2,
cell_1656,2,
cell_1657,1,
cell_1658,0,
cell_1659,3,
cell_1660,1,
cell_1661,2,
cell_1662,6,
cell_1663,3,
cell_1664,1,
cell_1665,0,
cell_1666,0,
cell_1667,2,
cell_1668,2,
cell_1669,2,
cell_1670,0,
cell_1671,3,
cell_1672,2,
cell_1673,0,
cell_1674,3,
cell_1675,3,
cell_1676,3,
cell_1677,0,
cell_1678,3,
cell_1679,1,
