,Stage,Sample,Louvain,DPC
749,E7.5,3,8,7
751,E7.5,3,0,3
752,E7.5,3,11,3
753,E7.5,3,10,2
754,E7.5,3,3,2
755,E7.5,3,7,6
756,E7.5,3,12,5
757,E7.5,3,0,3
758,E7.5,3,6,10
759,E7.5,3,2,9
761,E7.5,3,0,3
762,E7.5,3,11,0
763,E7.5,3,0,3
764,E7.5,3,12,4
766,E7.5,3,1,10
767,E7.5,3,11,0
768,E7.5,3,4,4
771,E7.5,3,3,2
772,E7.5,3,0,3
773,E7.5,3,11,0
774,E7.5,3,4,4
778,E7.5,3,6,10
779,E7.5,3,11,3
780,E7.5,3,0,3
781,E7.5,3,11,3
783,E7.5,3,0,3
784,E7.5,3,0,3
785,E7.5,3,0,3
786,E7.5,3,2,2
787,E7.5,3,3,2
788,E7.5,3,1,10
789,E7.5,3,4,4
790,E7.5,3,0,3
791,E7.5,3,1,10
793,E7.5,3,3,2
794,E7.5,3,13,2
796,E7.5,3,12,5
797,E7.5,3,0,3
798,E7.5,3,0,3
799,E7.5,3,4,4
800,E7.5,3,0,3
802,E7.5,3,7,6
803,E7.5,3,3,2
804,E7.5,3,5,5
805,E7.5,3,7,6
806,E7.5,3,13,2
807,E7.5,3,4,4
808,E7.5,3,3,9
809,E7.5,3,1,10
810,E7.5,3,8,11
812,E7.5,3,4,4
813,E7.5,3,7,6
814,E7.5,3,9,8
815,E7.5,3,5,8
817,E7.5,3,10,2
818,E7.5,3,0,3
819,E7.5,3,6,10
820,E7.5,3,8,7
821,E7.5,3,0,3
822,E7.5,3,7,6
823,E7.5,3,1,10
824,E7.5,3,7,5
827,E7.5,3,0,3
828,E7.5,3,0,3
829,E7.5,3,1,10
831,E7.5,3,4,4
832,E7.5,3,5,4
833,E7.5,3,11,0
834,E7.5,3,0,3
835,E7.5,3,3,2
836,E7.5,3,5,6
837,E7.5,3,6,10
838,E7.5,3,0,3
839,E7.5,3,3,2
840,E7.5,3,5,4
841,E7.5,3,9,8
842,E7.5,3,0,3
843,E7.5,3,11,0
844,E7.5,3,7,6
845,E7.5,3,8,11
846,E7.5,3,2,2
847,E7.5,3,2,2
848,E7.5,3,4,4
852,E7.5,3,11,0
853,E7.5,3,2,2
854,E7.5,3,7,6
855,E7.5,3,4,4
856,E7.5,3,0,3
857,E7.5,3,3,2
858,E7.5,3,7,5
859,E7.5,3,2,9
860,E7.5,3,7,6
861,E7.5,3,4,4
862,E7.5,3,0,3
867,E7.5,3,0,3
868,E7.5,3,13,2
869,E7.5,3,9,8
870,E7.5,3,0,3
872,E7.5,3,9,8
873,E7.5,3,0,3
874,E7.5,3,1,10
875,E7.5,3,8,7
876,E7.5,3,1,10
877,E7.5,3,12,4
878,E7.5,3,3,2
879,E7.5,3,2,2
880,E7.5,3,0,3
881,E7.5,3,1,10
883,E7.5,3,1,10
885,E7.5,3,5,4
886,E7.5,3,5,5
887,E7.5,3,12,4
888,E7.5,3,0,3
889,E7.5,3,8,11
890,E7.5,3,3,2
891,E7.5,3,5,6
893,E7.5,3,4,4
894,E7.5,3,0,3
895,E7.5,3,8,7
896,E7.5,3,6,10
897,E7.5,3,0,3
899,E7.5,3,0,3
900,E7.5,3,5,5
901,E7.5,3,4,4
902,E7.5,3,3,2
904,E7.5,3,11,0
906,E7.5,3,2,9
907,E7.5,3,0,3
908,E7.5,3,7,6
909,E7.5,3,2,9
910,E7.5,3,11,0
911,E7.5,3,6,10
912,E7.5,3,9,8
913,E7.5,3,3,9
914,E7.5,3,0,3
915,E7.5,3,0,3
916,E7.5,3,1,10
917,E7.5,3,3,2
918,E7.5,3,5,4
919,E7.5,3,5,4
920,E7.5,3,4,4
923,E7.5,3,4,4
924,E7.5,3,12,5
925,E7.5,3,2,2
927,E7.5,3,3,2
929,E7.5,3,7,6
930,E7.5,3,6,10
931,E7.5,3,7,5
932,E7.5,3,3,2
933,E7.5,3,3,2
935,E7.5,3,0,3
936,E7.5,3,0,3
937,E7.5,3,6,10
938,E7.5,3,7,6
939,E7.5,3,9,8
940,E7.5,3,11,0
941,E7.5,3,0,3
943,E7.5,3,8,7
944,E7.5,3,1,10
945,E7.5,3,5,4
946,E7.5,3,4,4
947,E7.5,3,10,2
948,E7.5,3,3,2
950,E7.5,3,2,9
951,E7.5,3,10,2
952,E7.5,3,6,10
953,E7.5,3,11,3
954,E7.5,3,4,4
955,E7.5,3,11,0
956,E7.5,3,1,10
957,E7.5,3,7,6
958,E7.5,3,4,4
959,E7.5,3,5,5
960,E7.5,3,0,3
961,E7.5,3,8,7
963,E7.5,3,13,2
964,E7.5,3,7,6
965,E7.5,3,1,10
966,E7.5,3,3,2
967,E7.5,3,3,2
968,E7.5,3,6,10
969,E7.5,3,0,3
971,E7.5,3,3,2
972,E7.5,3,7,6
973,E7.5,3,0,3
974,E7.5,3,5,5
975,E7.5,3,4,4
976,E7.5,3,12,5
977,E7.5,3,4,4
978,E7.5,3,12,4
979,E7.5,3,11,3
980,E7.5,3,3,2
981,E7.5,3,1,10
982,E7.5,3,2,9
983,E7.5,3,11,0
984,E7.5,3,0,3
985,E7.5,3,13,2
986,E7.5,3,9,8
987,E7.5,3,0,3
988,E7.5,3,3,2
989,E7.5,3,0,3
990,E7.5,3,0,3
991,E7.5,3,3,2
993,E7.5,3,8,7
994,E7.5,3,0,3
995,E7.5,3,12,5
996,E7.5,3,7,6
997,E7.5,3,11,0
999,E7.5,3,10,2
1001,E7.5,3,13,2
1002,E7.5,3,6,10
1003,E7.5,3,13,2
1004,E7.5,3,13,2
1005,E7.5,3,0,3
1006,E7.5,3,2,9
1007,E7.5,3,0,3
1010,E7.5,3,13,2
1011,E7.5,3,3,2
1013,E7.5,3,4,4
1014,E7.5,3,5,5
1015,E7.5,3,11,0
1017,E7.5,3,10,2
1018,E7.5,3,0,3
1019,E7.5,3,7,6
1022,E7.5,3,7,5
1023,E7.5,3,9,8
1024,E7.5,3,9,8
1025,E7.5,3,11,0
1026,E7.5,3,0,3
1027,E7.5,3,9,8
1028,E7.5,3,1,10
1029,E7.5,3,3,2
1030,E7.5,3,6,10
1031,E7.5,3,9,8
1032,E7.5,3,0,3
1033,E7.5,3,0,3
1035,E7.5,3,6,10
1036,E7.5,3,11,0
1037,E7.5,3,0,3
1038,E7.5,3,8,11
1039,E7.5,3,5,5
1040,E7.5,3,1,10
1041,E7.5,3,7,5
1042,E7.5,3,11,3
1044,E7.5,3,1,10
1047,E7.5,3,7,6
1048,E7.5,3,7,6
1049,E7.5,3,9,8
1050,E7.5,3,11,0
1051,E7.5,3,3,2
1052,E7.5,3,12,5
1054,E7.5,3,0,3
1055,E7.5,3,1,10
1056,E7.5,3,5,4
1057,E7.5,3,0,3
1058,E7.5,3,2,2
1059,E7.5,3,0,3
1060,E7.5,3,4,4
1061,E7.5,3,1,10
1062,E7.5,3,3,2
1063,E7.5,3,2,9
1064,E7.5,3,7,6
1065,E7.5,3,13,2
1066,E7.5,3,7,6
1067,E7.5,3,2,9
1070,E7.5,3,0,3
1071,E7.5,3,12,4
1073,E7.5,3,5,5
1074,E7.5,3,1,10
1075,E7.5,3,4,4
1076,E7.5,3,11,3
1078,E7.5,3,1,10
1080,E7.5,3,11,0
1082,E7.5,3,0,3
1083,E7.5,3,6,10
1084,E7.5,3,3,2
1086,E7.5,3,2,9
1088,E7.5,3,2,9
1089,E7.5,3,0,3
1090,E7.5,3,3,2
1091,E7.5,3,10,2
1092,E7.5,3,0,3
1093,E7.5,3,7,6
1094,E7.5,3,13,2
1095,E7.5,3,1,10
